n,parse_fail_rate,abstain_rate,coverage,bal_acc,macro_f1,mcc,mel_recall,acc_on_covered,mean_conf,ece,brier,nll,aurc,risk_at_80cov,overconf_gap,latency_median,latency_p95,run,system,stage,pid,mani,macro_f1_lo,macro_f1_hi,ece_lo,ece_hi,aurc_lo,aurc_hi,mel_recall_lo,mel_recall_hi
2014,0.0,0.0,1.0,0.17216891473587448,0.07591963808334333,0.0635553666551308,0.0,0.12413108242303873,0.7765143992055611,0.6523833167825223,0.5297691161866932,1.3435636071232202,0.8291731119094404,0.8448168839230292,0.6523833167825224,0.887,1.0847499999999997,Qwen3.5-2B-4bit__B1_v1__Qwen3.5-0.8B-4bit__B2_v1__ham_test_manifest,Qwen3.5-2B-4bit->Qwen3.5-0.8B-4bit,B2,B2_v1,ham_test_manifest,0.051331207898578916,0.10034180413981948,0.6377346077457796,0.6676328202581926,0.7755286126256714,0.8290271561899086,0.0,0.0
2014,0.0,0.0,1.0,0.20742636096578315,0.19438515602337753,0.22280204866177836,0.4144144144144144,0.6464746772591857,0.8536842105263155,0.2077557100297912,0.2704856007944389,0.7786076050839932,0.2478578342523747,0.3743016759776536,0.20720953326712976,2.048,2.54335,Qwen3.5-2B-4bit__B1_v1__Qwen3.5-2B-4bit__B2_v1__ham_test_manifest,Qwen3.5-2B-4bit->Qwen3.5-2B-4bit,B2,B2_v1,ham_test_manifest,0.1692944052503607,0.21954136662612236,0.18746685700099286,0.22772318768619637,0.2986720998654415,0.35618893078640407,0.35396301859218965,0.4808590759369714
1735,0.0,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-2B-4bit__B1_v1__external_subset,Qwen3.5-2B-4bit,B1,B1_v1,external_subset,,,,,,,,
2014,0.0,0.0004965243296921549,0.9995034756703078,0.17587582828228462,0.0954473417667069,0.04423351110128166,0.9234234234234234,0.1912568306010929,0.7811723795330352,0.5899155489319422,0.4927372081470442,1.260425282356057,0.7143803898813322,0.7894409937888198,0.5899155489319423,1.7974999999999999,2.2614499999999995,Qwen3.5-2B-4bit__B1_v1__gemma-4-E2B-it-4bit__B2_v1__ham_test_manifest,Qwen3.5-2B-4bit->gemma-4-E2B-it-4bit,B2,B2_v1,ham_test_manifest,0.07319853057483505,0.11838865723642608,0.575051814398071,0.6070820914058619,0.6687370748258562,0.7298334273356271,0.8878812144507212,0.9589795918367348
2014,0.0,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-2B-4bit__B1_v1__ham_test_manifest,Qwen3.5-2B-4bit,B1,B1_v1,ham_test_manifest,,,,,,,,
20,0.0,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-2B-4bit__B1_v1__ham_val_dev200,Qwen3.5-2B-4bit,B1,B1_v1,ham_val_dev200,,,,,,,,
2014,0.0004965243296921549,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-2B-4bit__B1_v2__ham_test_manifest,Qwen3.5-2B-4bit,B1,B1_v2,ham_test_manifest,,,,,,,,
2014,0.0,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-2B-4bit__B1_v3__ham_test_manifest,Qwen3.5-2B-4bit,B1,B1_v3,ham_test_manifest,,,,,,,,
1735,0.0,0.5855907780979827,0.4144092219020173,0.231056462519097,0.17764468635236894,0.19238385823951562,0.3425414364640884,0.38386648122392214,0.8262865090403336,0.4424200278164115,0.42864394993045907,1.1439028429956601,0.5285446532893029,0.5930434782608696,0.4424200278164115,2.714,2.966,gemma-4-E2B-it-4bit__A_abstain_v1__external_subset,gemma-4-E2B-it-4bit,A,A_abstain_v1,external_subset,0.15801281055923122,0.19704432226882523,0.40753114930805057,0.4790409847118681,0.507523446643429,0.6091936707182495,0.27565191565191566,0.4157424840570908
2014,0.0,0.3346573982125124,0.6653426017874876,0.17288623194227362,0.16461735689203502,0.15071676523232633,0.22340425531914893,0.664179104477612,0.8288432835820893,0.1646641791044775,0.2454906716417911,0.7032558394243078,0.21250728807330052,0.32929104477611937,0.16466417910447728,2.825,3.015,gemma-4-E2B-it-4bit__A_abstain_v1__ham_test_manifest,gemma-4-E2B-it-4bit,A,A_abstain_v1,ham_test_manifest,0.14709378588608807,0.18495114324806855,0.13938090808607592,0.19035006947823,0.24239896504753972,0.30864419545110566,0.16087382445141066,0.28071546052631574
1735,0.0,0.0,1.0,0.17380952380952383,0.08906167889586807,0.07831523591562485,0.02,0.21037463976945245,0.8492795389048988,0.6389048991354463,0.5726599423631124,1.5256471498312272,0.7512632895975104,0.739193083573487,0.6389048991354463,2.771,2.959,gemma-4-E2B-it-4bit__A_v1__external_subset,gemma-4-E2B-it-4bit,A,A_v1,external_subset,0.07991962150957235,0.09908760699086762,0.6198242074927951,0.6578112391930832,0.7166407277277443,0.7787479294306895,0.005915858335213174,0.037037037037037035
2014,0.0,0.0,1.0,0.15371556343978768,0.13534452302076835,0.09798944190928904,0.02702702702702703,0.6782522343594836,0.8512413108242302,0.17298907646474654,0.2473361469712016,0.7198059424002383,0.186079409746724,0.3550589695841092,0.1729890764647466,2.802,2.993,gemma-4-E2B-it-4bit__A_v1__ham_test_manifest,gemma-4-E2B-it-4bit,A,A_v1,ham_test_manifest,0.12301652996373419,0.14872388307232595,0.152506827209533,0.19369848560079422,0.2749441195450028,0.3298638583370918,0.008846659195424508,0.0502288841467612
2014,0.0,0.0,1.0,0.1737499121716462,0.14511249694266598,0.05397147592400029,0.481981981981982,0.5059582919563058,0.8194141012909631,0.31345580933465733,0.3304890764647468,0.8974975809872543,0.30121555619774126,0.40347610180012417,0.31345580933465733,3.0225,3.24735,gemma-4-E2B-it-4bit__A_v2__ham_test_manifest,gemma-4-E2B-it-4bit,A,A_v2,ham_test_manifest,0.13256702965115438,0.1596307220101546,0.2923709036742799,0.3342372144985104,0.32097200119761693,0.3787339785783014,0.40685864058542076,0.5463055555555555
